Marker ID,Distance
37,123.52
37,123.52
37,123.513
0,12586.174
0,12588.598
0,13255.735
0,13255.735
0,12548.741
0,12548.741
0,12471.046
0,12427.983
0,12427.983
0,12471.046
0,12738.974
0,12738.974
0,12398.089
0,12144.896
0,12144.896
0,12471.046
0,12471.046
0,12471.046
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,11933.333
0,12398.089
0,12398.089
0,12471.046
0,12471.046
0,12471.046
0,12471.046
0,12471.046
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,11808.876
0,11808.876
0,12144.896
0,12144.896
0,12144.896
0,12398.089
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,11808.876
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12471.046
0,12471.046
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12471.046
0,12398.089
0,12398.089
0,12398.089
0,12471.046
0,12471.046
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12045.92
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12045.92
0,12144.896
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12045.92
0,12144.896
0,12144.896
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12471.046
0,12471.046
0,12398.089
0,12398.089
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12459.563
0,12459.563
0,12398.089
0,12398.089
0,12398.089
0,11758.609
0,11758.609
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12471.046
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12471.046
0,12471.046
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12144.896
0,12144.896
0,12144.896
0,12459.563
0,12459.563
0,12144.896
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12398.089
0,12045.92
0,12045.92
0,12398.089
0,12398.089
0,12548.741
0,12548.741
0,12144.896
0,12144.896
0,12398.089
0,12398.089
0,12471.046
0,12471.046
